Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,CORNELL,37 Forest Home Dr,FOREST HOME 1; Parking Level 3FOREST HOME 2; -FOREST HOME 3; Level 3L parking garage,Ithaca,NY,14850,,888-758-4389,E,,Public,24 hours daily,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,42.469059,-76.486687,01/23/2021,96757,2021-01-23 00:19:13,,,,,J1772
ELEC,Hampton Inn Rome - Tesla Destination,1352 Floyd Ave,,Rome,NY,13441,,315-709-0000  877-798-3752,E,,Public,24 hours daily; for customer use only,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.222098,-75.421363,11/03/2020,115229,2020-11-18 00:06:10,P,,,11/01/2018,J1772 TESLA
ELEC,TOWN GERMANTOWN,189 Main St,MUNICIPAL LOT,Germantown,NY,12526,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.132595,-73.882650,01/23/2021,149273,2021-01-23 00:19:13,,,,,J1772
ELEC,ERIE COUNTY,1711 Girdle Rd,ELMA MEADOWS,Elma,NY,14059,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.825420,-78.595024,01/23/2021,154704,2021-01-23 00:19:13,,,,,J1772
ELEC,ADAMS STATION,701 Baxter Ct,701 BAXTER; Bldg 701-706,Delmar,NY,12054,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.608073,-73.849243,01/23/2021,165397,2021-01-23 00:19:13,,,,,J1772
ELEC,MOTM,1110  Fulton St,FARMINGDALE; Men On The Move Self-Storage,Farmingdale,NY,11735,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.723380,-73.429030,01/23/2021,165308,2021-01-23 00:19:13,,,,,J1772
ELEC,LACROIX COURT,14 Lacroix Ct Dr,LACROIX APTS,Irondequoit,NY,14609,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.195533,-77.566124,01/23/2021,165499,2021-01-23 00:19:13,,,,,J1772
ELEC,EVolve NY - Watertown,1242 Arsenal St,Near Starbucks,Watertown,NY,13601,,914-287-4200,E,,Public,24 hours daily,,,1,,,Non-Networked,,GPS,43.979207,-75.946384,12/03/2020,168319,2020-12-03 22:33:12,P,,,11/02/2020,J1772
ELEC,Greenville Center,855 Central Park Ave,,Scarsdale,NY,10583,,877-455-3833,E,,Public,24 hours daily,,,,1,,eVgo Network,https://www.evgo.com/,GPS,40.995411,-73.819055,01/23/2021,168480,2021-01-23 01:19:54,,,,,CHADEMO J1772COMBO
ELEC,RUPCO,20 Cedar St,,Kingston,NY,12401,,,E,,Public,24 hours daily,,,4,,,AMPUP,https://ampup.io/,200-9,41.928591,-74.004355,12/03/2020,169706,2020-12-03 22:33:12,P,,,12/01/2020,J1772
