Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Percent Electric Vehicles
January 31 2017,Russell,AL,Passenger,1,0,1,35,2.78
January 31 2017,Baxter,AR,Passenger,0,1,1,0,100.00
January 31 2017,Maricopa,AZ,Passenger,1,0,1,960,0.10
January 31 2017,Pima,AZ,Passenger,0,1,1,219,0.45
January 31 2017,Yavapai,AZ,Passenger,1,0,1,39,2.50
January 31 2017,Alameda,CA,Passenger,6,1,7,218,3.11
January 31 2017,Contra Costa,CA,Passenger,1,0,1,173,0.57
January 31 2017,San Diego,CA,Passenger,1,2,3,1979,0.15
January 31 2017,Santa Clara,CA,Passenger,2,1,3,254,1.17
January 31 2017,Ventura,CA,Passenger,0,2,2,291,0.68
January 31 2017,El Paso,CO,Passenger,1,1,2,578,0.34
January 31 2017,New London,CT,Passenger,1,1,2,189,1.05
January 31 2017,District Of Columbia,DC,Passenger,0,1,1,177,0.56
January 31 2017,Collier,FL,Passenger,0,1,1,11,8.33
January 31 2017,Marion,FL,Passenger,1,0,1,20,4.76
January 31 2017,Miami-Dade,FL,Passenger,0,1,1,93,1.06
January 31 2017,Okaloosa,FL,Passenger,1,0,1,98,1.01
January 31 2017,Cobb,GA,Passenger,0,1,1,36,2.70
January 31 2017,Dekalb,GA,Passenger,1,0,1,52,1.89
January 31 2017,Fulton,GA,Passenger,0,2,2,73,2.67
January 31 2017,Honolulu,HI,Passenger,0,1,1,338,0.29
January 31 2017,Madison,ID,Passenger,1,0,1,27,3.57
January 31 2017,Shoshone,ID,Passenger,0,1,1,82,1.20
January 31 2017,Lake,IL,Passenger,1,0,1,121,0.82
January 31 2017,Saint Clair,IL,Passenger,1,0,1,159,0.62
January 31 2017,Hardin,KY,Passenger,0,1,1,89,1.11
January 31 2017,Nantucket,MA,Passenger,1,0,1,2,33.33
January 31 2017,Anne Arundel,MD,Passenger,0,1,1,413,0.24
January 31 2017,Calvert,MD,Passenger,0,1,1,50,1.96
January 31 2017,Howard,MD,Passenger,0,1,1,74,1.33
January 31 2017,Saint Marys,MD,Passenger,0,1,1,149,0.67
January 31 2017,Wayne,MI,Passenger,0,2,2,37,5.13
January 31 2017,Dakota,MN,Passenger,0,1,1,21,4.55
January 31 2017,Jackson,MO,Passenger,1,0,1,46,2.13
January 31 2017,Cascade,MT,Passenger,0,1,1,35,2.78
January 31 2017,Cumberland,NC,Passenger,1,0,1,491,0.20
January 31 2017,Durham,NC,Passenger,0,1,1,17,5.56
January 31 2017,Guilford,NC,Passenger,1,0,1,23,4.17
January 31 2017,Bergen,NJ,Passenger,0,2,2,11,15.38
January 31 2017,Clark,NV,Passenger,0,2,2,519,0.38
January 31 2017,Elko,NV,Passenger,0,1,1,2,33.33
January 31 2017,Jefferson,NY,Passenger,0,1,1,183,0.54
January 31 2017,Lewis,NY,Passenger,0,1,1,3,25.00
January 31 2017,Monroe,NY,Passenger,1,0,1,23,4.17
January 31 2017,New York,NY,Passenger,0,1,1,61,1.61
January 31 2017,Saratoga,NY,Passenger,1,0,1,69,1.43
January 31 2017,Franklin,OH,Passenger,1,0,1,58,1.69
January 31 2017,Custer,OK,Passenger,0,1,1,2,33.33
January 31 2017,Oklahoma,OK,Passenger,0,1,1,155,0.64
January 31 2017,Clackamas,OR,Passenger,1,1,2,267,0.74
January 31 2017,Deschutes,OR,Passenger,0,1,1,118,0.84
January 31 2017,Douglas,OR,Passenger,0,1,1,53,1.85
January 31 2017,Hood River,OR,Passenger,1,0,1,23,4.17
January 31 2017,Marion,OR,Passenger,1,0,1,147,0.68
January 31 2017,Washington,OR,Passenger,0,1,1,444,0.22
January 31 2017,Northampton,PA,Passenger,2,0,2,216,0.92
January 31 2017,Montgomery,TN,Passenger,1,0,1,160,0.62
January 31 2017,Bexar,TX,Passenger,3,3,6,837,0.71
January 31 2017,Dallas,TX,Passenger,1,0,1,107,0.93
January 31 2017,Nueces,TX,Passenger,1,0,1,65,1.52
January 31 2017,Tarrant,TX,Passenger,0,2,2,199,1.00
January 31 2017,Travis,TX,Passenger,0,1,1,86,1.15
January 31 2017,Salt Lake,UT,Passenger,0,1,1,199,0.50
January 31 2017,Arlington,VA,Passenger,0,1,1,118,0.84
January 31 2017,Fairfax,VA,Passenger,1,4,5,569,0.87
January 31 2017,Loudoun,VA,Passenger,0,1,1,49,2.00
January 31 2017,Prince William,VA,Passenger,0,2,2,194,1.02
January 31 2017,Virginia Beach City,VA,Passenger,1,0,1,396,0.25
January 31 2017,,WA,Passenger,0,1,1,34,2.86
January 31 2017,,WA,Truck,0,0,0,8,0.00
January 31 2017,Adams,WA,Passenger,2,1,3,12530,0.02
January 31 2017,Adams,WA,Truck,0,0,0,5264,0.00
January 31 2017,Asotin,WA,Passenger,4,4,8,12628,0.06
January 31 2017,Asotin,WA,Truck,0,0,0,6787,0.00
January 31 2017,Benton,WA,Passenger,131,131,262,130408,0.20
January 31 2017,Benton,WA,Truck,0,0,0,41092,0.00
January 31 2017,Chelan,WA,Passenger,60,34,94,53321,0.18
January 31 2017,Chelan,WA,Truck,0,0,0,21910,0.00
January 31 2017,Clallam,WA,Passenger,75,66,141,49513,0.28
January 31 2017,Clallam,WA,Truck,0,0,0,21795,0.00
January 31 2017,Clark,WA,Passenger,688,449,1137,302328,0.37
January 31 2017,Clark,WA,Truck,0,0,0,79395,0.00
January 31 2017,Columbia,WA,Passenger,0,1,1,2368,0.04
January 31 2017,Columbia,WA,Truck,0,0,0,1573,0.00
January 31 2017,Cowlitz,WA,Passenger,50,52,102,70428,0.14
